commit_oid,old_path,new_path,similarity
7de32b25794fda743fa2a19e622155fe78f4c387,openhands-cli/tests/test_settings_workflow.py,openhands-cli/tests/settings/test_settings_workflow.py,100
3f984d878b8d4cfd98e91d500ab4955e97258d88,frontend/src/api/open-hands.ts,frontend/src/api/conversation-service/conversation-service.api.ts,90
5aba498e7721394ded04614cbc3925badb99608d,frontend/src/types/billing.tsx,frontend/src/api/billing-service/billing.types.ts,100
3baeecb27c9a9e7dee27460549a5e019179415c7,frontend/src/components/features/home/tasks/task.types.ts,frontend/src/utils/types.ts,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_browsing_agent_parser.py,tests/unit/agenthub/browsing_agent/test_browsing_agent_parser.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_agents.py,tests/unit/agenthub/test_agents.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_function_calling.py,tests/unit/agenthub/test_function_calling.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_prompt_caching.py,tests/unit/agenthub/test_prompt_caching.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_windows_prompt_refinement.py,tests/unit/agenthub/test_windows_prompt_refinement.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli.py,tests/unit/cli/test_cli.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_alias_setup.py,tests/unit/cli/test_cli_alias_setup.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_commands.py,tests/unit/cli/test_cli_commands.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_config_management.py,tests/unit/cli/test_cli_config_management.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_default_model.py,tests/unit/cli/test_cli_default_model.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_openhands_provider_auth_error.py,tests/unit/cli/test_cli_openhands_provider_auth_error.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_pause_resume.py,tests/unit/cli/test_cli_pause_resume.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_runtime_mcp.py,tests/unit/cli/test_cli_runtime_mcp.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_settings.py,tests/unit/cli/test_cli_settings.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_setup_flow.py,tests/unit/cli/test_cli_setup_flow.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_suppress_warnings.py,tests/unit/cli/test_cli_suppress_warnings.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_thought_order.py,tests/unit/cli/test_cli_thought_order.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_tui.py,tests/unit/cli/test_cli_tui.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_utils.py,tests/unit/cli/test_cli_utils.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_vi_mode.py,tests/unit/cli/test_cli_vi_mode.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_cli_workspace.py,tests/unit/cli/test_cli_workspace.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_control_flags.py,tests/unit/controller/state/test_control_flags.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_state.py,tests/unit/controller/state/test_state.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_agent_controller.py,tests/unit/controller/test_agent_controller.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_agent_delegation.py,tests/unit/controller/test_agent_delegation.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_is_stuck.py,tests/unit/controller/test_is_stuck.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_arg_parser.py,tests/unit/core/config/test_arg_parser.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_config.py,tests/unit/core/config/test_config.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_config_dict_casting.py,tests/unit/core/config/test_config_dict_casting.py,100
634a7691a286c26bdfb18d8d12af196edbc2435e,tests/unit/test_config_extended.py,tests/unit/core/config/test_config_extended.py,100
