folder,file_count,commit_count
.,26,5967
openhands,570,1843
frontend,1024,1812
tests,218,979
.github,22,438
evaluation,328,408
enterprise,421,183
containers,11,171
.openhands,4,36
dev_config,3,34
openhands-ui,81,16
.devcontainer,3,12
third_party,19,9
skills,26,3
.vscode,1,2
scripts,2,2
kind,6,1
