path,commit_count
frontend/src/entry.client.tsx,28
frontend/src/routes/settings.tsx,28
frontend/__tests__/components/features/home/repo-connector.test.tsx,28
evaluation/gorilla/run_infer.py,28
evaluation/ml_bench/run_infer.py,28
evaluation/webarena/run_infer.py,28
openhands/runtime/client/client.py,28
opendevin/server/session/agent.py,28
tests/unit/test_sandbox.py,28
opendevin/server/agent/agent.py,28
opendevin/main.py,28
CONTRIBUTING.md,27
frontend/src/hooks/mutation/use-create-conversation.ts,27
docs/docs.json,27
docs/usage/how-to/headless-mode.mdx,27
tests/unit/test_observation_serialization.py,27
tests/unit/test_prompt_manager.py,27
docs/modules/usage/runtimes.md,27
tests/unit/test_codeact_agent.py,27
frontend/src/components/modals/settings/SettingsModal.test.tsx,27
tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,27
dev_config/python/.pre-commit-config.yaml,26
frontend/src/utils/utils.ts,26
openhands/resolver/send_pull_request.py,26
openhands/events/serialization/event.py,26
tests/unit/test_arg_parser.py,26
openhands/runtime/utils/request.py,26
frontend/src/components/file-explorer/FileExplorer.tsx,26
evaluation/biocoder/run_infer.py,26
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,26
openhands/controller/state/state.py,25
frontend/src/types/core/observations.ts,25
openhands/agenthub/codeact_agent/prompts/system_prompt.j2,25
evaluation/integration_tests/run_infer.py,25
openhands/events/serialization/action.py,25
README_CN.md,25
tests/unit/test_agent_skill.py,25
tests/unit/test_event_stream.py,25
.github/workflows/py-unit-tests.yml,25
frontend/src/routes/_oh.app.tsx,25
opendevin/controller/state/state.py,25
frontend/test-utils.tsx,24
openhands/llm/fn_call_converter.py,24
openhands/server/routes/files.py,24
frontend/src/routes.ts,24
.openhands/microagents/repo.md,24
frontend/__tests__/routes/settings.test.tsx,24
openhands/mcp/utils.py,24
tests/unit/test_memory.py,24
openhands/storage/conversation/file_conversation_store.py,24
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,24
openhands/server/routes/github.py,24
agenthub/planner_agent/agent.py,24
tests/unit/test_runtime.py,24
opendevin/runtime/client/client.py,24
opendevin/server/session.py,24
openhands/core/config/mcp_config.py,23
openhands/runtime/impl/kubernetes/README.md,23
openhands/core/message.py,23
frontend/__tests__/routes/home-screen.test.tsx,23
frontend/src/components/features/conversation-panel/conversation-panel.tsx,23
frontend/src/components/features/chat/chat-message.tsx,23
openhands/storage/data_models/conversation_metadata.py,23
openhands/cli/settings.py,23
tests/unit/test_security.py,23
frontend/src/state/chat-slice.ts,23
openhands/runtime/builder/remote.py,23
.github/workflows/dummy-agent-test.yml,23
frontend/src/routes/_oh/route.tsx,23
tests/unit/test_micro_agents.py,23
openhands/runtime/impl/eventstream/eventstream_runtime.py,23
tests/integration/README.md,23
frontend/src/components/modals/settings/SettingsModal.tsx,23
agenthub/codeact_swe_agent/codeact_swe_agent.py,23
frontend/__tests__/routes/_oh.test.tsx,22
frontend/src/hooks/use-terminal.ts,22
frontend/__tests__/routes/llm-settings.test.tsx,22
frontend/src/components/features/chat/messages.tsx,22
frontend/src/types/core/actions.ts,22
tests/runtime/test_browsing.py,22
tests/unit/test_cli.py,22
tests/unit/test_is_stuck.py,22
docs/modules/usage/how-to/custom-sandbox-guide.md,22
containers/build.sh,22
frontend/src/routes/_oh.tsx,22
opendevin/runtime/plugins/agent_skills/agentskills.py,22
frontend/src/contexts/conversation-websocket-context.tsx,21
openhands/server/routes/mcp.py,21
frontend/__tests__/components/features/microagent-management/microagent-management.test.tsx,21
frontend/tailwind.config.js,21
evaluation/benchmarks/gaia/run_infer.py,21
evaluation/benchmarks/swe_bench/README.md,21
tests/unit/test_condenser.py,21
docs/src/components/HomepageHeader/HomepageHeader.tsx,21
frontend/src/routes/account-settings.tsx,21
frontend/src/routes/_oh.app._index/route.tsx,21
frontend/src/components/chat/ChatInterface.tsx,21
frontend/src/components/modals/settings/SettingsForm.tsx,21
agenthub/browsing_agent/browsing_agent.py,21
.github/workflows/ghcr_runtime.yml,21
agenthub/codeact_agent/prompt.py,21
opendevin/core/logger.py,21
frontend/src/components/Terminal.tsx,21
openhands/app_server/sandbox/remote_sandbox_service.py,20
openhands-cli/pyproject.toml,20
openhands/server/session/conversation_init_data.py,20
openhands/core/config/openhands_config.py,20
openhands/server/config/server_config.py,20
openhands/server/services/conversation_service.py,20
frontend/src/components/features/waitlist/auth-modal.tsx,20
frontend/.eslintrc,20
tests/unit/test_prompt_caching.py,20
openhands/runtime/impl/modal/modal_runtime.py,20
docs/modules/usage/configuration-options.md,20
agenthub/dummy_agent/agent.py,20
opendevin/server/session/session.py,20
opendevin/events/stream.py,20
opendevin/runtime/plugins/mixin.py,20
tests/integration/mock/CodeActAgent/test_ipython_module/prompt_001.log,20
tests/integration/mock/CodeActAgent/test_ipython_module/prompt_002.log,20
tests/integration/mock/CodeActAgent/test_ipython_module/prompt_003.log,20
tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_003.log,20
tests/integration/mock/MonologueAgent/test_write_simple_script/prompt_001.log,20
tests/integration/mock/MonologueAgent/test_write_simple_script/prompt_002.log,20
frontend/src/components/CodeEditor.tsx,20
agenthub/monologue_agent/utils/memory.py,20
frontend/README.md,19
openhands/resolver/README.md,19
openhands/cli/utils.py,19
openhands/runtime/utils/edit.py,19
evaluation/benchmarks/swe_bench/eval_infer.py,19
frontend/src/components/features/chat/action-suggestions.tsx,19
frontend/src/components/shared/task-form.tsx,19
tests/runtime/test_ipython.py,19
docs/modules/usage/about.md,19
frontend/src/services/chatService.ts,19
evaluation/swe_bench/scripts/run_infer.sh,19
containers/sandbox/Dockerfile,19
evaluation/swe_bench/swe_env_box.py,19
opendevin/sandbox/docker/ssh_box.py,19
frontend/src/services/settingsService.ts,19
openhands/controller/agent.py,18
openhands/server/conversation_manager/conversation_manager.py,18
openhands/server/routes/secrets.py,18
frontend/__tests__/components/features/sidebar/sidebar.test.tsx,18
frontend/__tests__/routes/git-settings.test.tsx,18
frontend/__tests__/components/features/conversation-panel/conversation-card.test.tsx,18
frontend/src/routes/app-settings.tsx,18
